"id_bibrec","status","docname"
16575,"status:PA16JU","PAL_E2532"
16574,"status:PA16JU","PAL_E2533"
16573,"status:PA16JU","PAL_E2562"
16572,"status:PA16JU","PAL_E2628"
16571,"status:PA16JU","PAL_E2691"
16570,"status:PA16JU","PAL_E2806"
16569,"status:PA16JU","PAL_E2807"
16568,"status:PA16JU","PAL_E2841"
16566,"status:PA16JU","PAL_E2925"
16565,"status:PA16JU","PAL_E2879"
16564,"status:PA16JU","PAL_E3025"
16563,"status:PA16JU","PAL_E3029"
16562,"status:PA16JU","PAL_E3031"
16561,"status:PA16JU","PAL_E3103"
16560,"status:PA16JU","PAL_E3198"
16559,"status:PA16JU","PAL_E3202"
16557,"status:PA16JU","PAL_E3204"
16556,"status:PA16JU","PAL_E3206"
16555,"status:PA16JU","PAL_E3207"
16554,"status:PA16JU","PAL_E3208"
16553,"status:PA16JU","PAL_E3210"
16552,"status:PA16JU","PAL_E3211"
16551,"status:PA16JU","PAL_E3213"
16549,"status:PA16JU","PAL_E3216"
16546,"status:PA16JU","PAL_E3220"
16545,"status:PA16JU","PAL_E3221"
16543,"status:PA16JU","PAL_E3223"
16542,"status:PA16JU","PAL_E3224"
16541,"status:PA16JU","PAL_E3225"
16540,"status:PA16JU","PAL_E3229"
16539,"status:PA16JU","PAL_E3230"
16538,"status:PA16JU","PAL_E3231"
16537,"status:PA16JU","PAL_E3232"
16536,"status:PA16JU","PAL_E3233"
16535,"status:PA16JU","PAL_E3234"
16534,"status:PA16JU","PAL_E3235"
16533,"status:PA16JU","PAL_E3236"
16532,"status:PA16JU","PAL_E3237"
16531,"status:PA16JU","PAL_E3238"
16530,"status:PA16JU","PAL_E3240"
16529,"status:PA16JU","PAL_E3241"
16528,"status:PA16JU","PAL_E3242"
16527,"status:PA16JU","PAL_E3243"
16526,"status:PA16JU","PAL_E3244"
16525,"status:PA16JU","PAL_E3245"
16524,"status:PA16JU","PAL_E3246"
16523,"status:PA16JU","PAL_E3248"
16522,"status:PA16JU","PAL_E3250"
16521,"status:PA16JU","PAL_E3552"
16520,"status:PA16JU","PAL_E3551"
16519,"status:PA16JU","PAL_E3254"
16518,"status:PA16JU","PAL_E3409"
16517,"status:PA16JU","PAL_E3519"
16516,"status:PA16JU","PAL_E3529"
16515,"status:PA16JU","PAL_E3498"
16514,"status:PA16JU","PAL_E3256"
16513,"status:PA16JU","PAL_E3257"
16512,"status:PA16JU","PAL_E3258"
16511,"status:PA16JU","PAL_E3260"
16510,"status:PA16JU","PAL_E3261"
16509,"status:PA16JU","PAL_E3262"
16508,"status:PA16JU","PAL_E3553"
16507,"status:PA16JU","PAL_E3554"
16506,"status:PA16JU","PAL_E3557"
16505,"status:PA16JU","PAL_E3558"
16504,"status:PA16JU","PAL_E3566"
16503,"status:PA16JU","PAL_E3603"
16502,"status:PA16JU","PAL_E3614"
16501,"status:PA16JU","PAL_E3615"
16500,"status:PA16JU","PAL_E3799"
16499,"status:PA16JU","PAL_E3798"
16498,"status:PA16JU","PAL_E3796"
16497,"status:PA16JU","PAL_E3675"
16496,"status:PA16JU","PAL_E3793"
16495,"status:PA16JU","PAL_E3794"
16494,"status:PA16JU","PAL_E3624"
16493,"status:PA16JU","PAL_E3623"
16491,"status:PA16JU","PAL_E3621"
16490,"status:PA16JU","PAL_E3620"
16489,"status:PA16JU","PAL_E3618"
16488,"status:PA16JU","PAL_E3617"
16487,"status:PA16JU","PAL_E3616"
16486,"status:PA16JU","PAL_E3611"
16485,"status:PA16JU","PAL_E3610"
16484,"status:PA16JU","PAL_E3609"
16483,"status:PA16JU","PAL_E3608"
16482,"status:PA16JU","PAL_E3607"
16481,"status:PA16JU","PAL_E3605"
16480,"status:PA16JU","PAL_E3604"
16479,"status:PA16JU","PAL_E3888"
16478,"status:PA16JU","PAL_E3887"
16477,"status:PA16JU","PAL_E3821"
16476,"status:PA16JU","PAL_E3359"
16475,"status:PA16JU","PAL_E3324"
16474,"status:PA16JU","PAL_E3228"
16473,"status:PA16JU","PAL_E3186"
16472,"status:PA16JU","PAL_E3168"
16471,"status:PA16JU","PAL_E3167"
16470,"status:PA16JU","PAL_E3166"
16469,"status:PA16JU","PAL_E3160"
16468,"status:PA16JU","PAL_E3154"
16467,"status:PA16JU","PAL_E2333"
16466,"status:PA16JU","PAL_E2332"
16465,"status:PA16JU","PAL_E1782"
16464,"status:PA16JU","PAL_E1750"
16463,"status:PA16JU","PAL_E1718"
16462,"status:PA16JU","PAL_E2317"
16461,"status:PA16JU","PAL_E2316"
16460,"status:PA16JU","PAL_E2314"
16459,"status:PA16JU","PAL_E1330"
16458,"status:PA16JU","PAL_E1321"
16456,"status:PA16JU","PAL_E1290"
16455,"status:PA16JU","PAL_E1281"
16454,"status:PA16JU","PAL_E1271"
16453,"status:PA16JU","PAL_E1267"
16452,"status:PA16JU","PAL_E1258"
16451,"status:PA16JU","PAL_E1257"
16450,"status:PA16JU","PAL_E1238"
16449,"status:PA16JU","PAL_E1222"
16448,"status:PA16JU","PAL_E1221"
16447,"status:PA16JU","PAL_E1217"
16446,"status:PA16JU","PAL_E1213"
16445,"status:PA16JU","PAL_E1212"
16444,"status:PA16JU","PAL_E1202"
16443,"status:PA16JU","PAL_E1194"
16442,"status:PA16JU","PAL_E1195"
16441,"status:PA16JU","PAL_E1193"
16440,"status:PA16JU","PAL_E1190"
16439,"status:PA16JU","PAL_E1189"
16438,"status:PA16JU","PAL_E1172"
16437,"status:PA16JU","PAL_E1167"
16436,"status:PA16JU","PAL_E1166"
16435,"status:PA16JU","PAL_E1164"
16434,"status:PA16JU","PAL_E1162"
16433,"status:PA16JU","PAL_E1161"
16432,"status:PA16JU","PAL_E1158"
16431,"status:PA16JU","PAL_E1156"
16430,"status:PA16JU","PAL_E1149"
16429,"status:PA16JU","PAL_E1148"
16428,"status:PA16JU","PAL_E1147"
16426,"status:PA16JU","PAL_E1057"
16425,"status:PA16JU","PAL_E1028"
16424,"status:PA16JU","PAL_E1007"
16421,"status:PA16JU","PAL_E957"
16420,"status:PA16JU","PAL_E955"
16419,"status:PA16JU","PAL_E942"
16417,"status:PA16JU","PAL_E886"
16416,"status:PA16JU","PAL_E842"
16415,"status:PA16JU","PAL_E823"
16414,"status:PA16JU","PAL_E3581"
16413,"status:PA16JU","PAL_E3600"
16412,"status:PA16JU","PAL_E3596"
16411,"status:PA16JU","PAL_E3595"
16410,"status:PA16JU","PAL_E3591"
16409,"status:PA16JU","PAL_E3589"
16408,"status:PA16JU","PAL_E3584"
16407,"status:PA16JU","PAL_E3582"
16406,"status:PA16JU","PAL_E3580"
16405,"status:PA16JU","PAL_E3579"
16404,"status:PA16JU","PAL_E3578"
16403,"status:PA16JU","PAL_E3577"
16402,"status:PA16JU","PAL_E3576"
16401,"status:PA16JU","PAL_E3575"
16400,"status:PA16JU","PAL_E3574"
16399,"status:PA16JU","PAL_E3573"
16398,"status:PA16JU","PAL_E3570"
16397,"status:PA16JU","PAL_E3563"
16396,"status:PA16JU","PAL_E3562"
16395,"status:PA16JU","PAL_E3560"
16394,"status:PA16JU","PAL_E3585"
16393,"status:PA16JU","PAL_E3548"
16392,"status:PA16JU","PAL_E3547"
16391,"status:PA16JU","PAL_E3546"
16390,"status:PA16JU","PAL_E3496"
16389,"status:PA16JU","PAL_E3489"
16388,"status:PA16JU","PAL_E3488"
16387,"status:PA16JU","PAL_E3478"
16386,"status:PA16JU","PAL_E3545"
16385,"status:PA16JU","PAL_E3544"
16384,"status:PA16JU","PAL_E3543"
16383,"status:PA16JU","PAL_E3542"
16382,"status:PA16JU","PAL_E3539"
16381,"status:PA16JU","PAL_E3538"
16379,"status:PA16JU","PAL_E3536"
16378,"status:PA16JU","PAL_E3535"
16377,"status:PA16JU","PAL_E3534"
16376,"status:PA16JU","PAL_E3533"
16375,"status:PA16JU","PAL_E3532"
16374,"status:PA16JU","PAL_E3531"
16373,"status:PA16JU","PAL_E3528"
16372,"status:PA16JU","PAL_E3527"
16371,"status:PA16JU","PAL_E3526"
16370,"status:PA16JU","PAL_E3525"
16369,"status:PA16JU","PAL_E3524"
16368,"status:PA16JU","PAL_E3522"
16367,"status:PA16JU","PAL_E3521"
16365,"status:PA16JU","PAL_E3517"
16364,"status:PA16JU","PAL_E3516"
16363,"status:PA16JU","PAL_E3515"
16362,"status:PA16JU","PAL_E3514"
16361,"status:PA16JU","PAL_E3512"
16360,"status:PA16JU","PAL_E3510"
16359,"status:PA16JU","PAL_E3509"
16358,"status:PA16JU","PAL_E3508"
16357,"status:PA16JU","PAL_E3505"
16356,"status:PA16JU","PAL_E3500"
16355,"status:PA16JU","PAL_E2519"
16354,"status:PA16JU","PAL_E2629"
16353,"status:PA16JU","PAL_E2792"
16352,"status:PA16JU","PAL_E2788"
16351,"status:PA16JU","PAL_E2782"
16350,"status:PA16JU","PAL_E2781"
16348,"status:PA16JU","PAL_E2775"
16346,"status:PA16JU","PAL_E2768"
16345,"status:PA16JU","PAL_E2765"
16344,"status:PA16JU","PAL_E2732"
16343,"status:PA16JU","PAL_E2653"
16342,"status:PA16JU","PAL_E2652"
16341,"status:PA16JU","PAL_E2651"
16340,"status:PA16JU","PAL_E2650"
16339,"status:PA16JU","PAL_E2649"
16338,"status:PA16JU","PAL_E2648"
16337,"status:PA16JU","PAL_E2647"
16336,"status:PA16JU","PAL_E2646"
16335,"status:PA16JU","PAL_E2645"
16334,"status:PA16JU","PAL_E2644"
16333,"status:PA16JU","PAL_E2643"
16332,"status:PA16JU","PAL_E2642"
16331,"status:PA16JU","PAL_E2641"
16330,"status:PA16JU","PAL_E2640"
16329,"status:PA16JU","PAL_E2639"
16328,"status:PA16JU","PAL_E2638"
16327,"status:PA16JU","PAL_E2637"
16326,"status:PA16JU","PAL_E2636"
16325,"status:PA16JU","PAL_E2635"
16324,"status:PA16JU","PAL_E2634"
16323,"status:PA16JU","PAL_E2633"
16322,"status:PA16JU","PAL_E2631"
16321,"status:PA16JU","PAL_E2630"
16320,"status:PA16JU","PAL_E922"
16318,"status:PA16JU","PAL_E917"
16317,"status:PA16JU","PAL_E916"
16314,"status:PA16JU","PAL_E913"
16311,"status:PA16JU","PAL_E798"
16310,"status:PA16JU","PAL_E781"
16309,"status:PA16JU","PAL_E784"
16308,"status:PA16JU","PAL_E795"
16307,"status:PA16JU","PAL_E780"
16306,"status:PA16JU","PAL_E772"
16305,"status:PA16JU","PAL_E765"
16304,"status:PA16JU","PAL_E599"
16303,"status:PA16JU","PAL_E597"
16302,"status:PA16JU","PAL_E596"
16301,"status:PA16JU","PAL_E595"
16300,"status:PA16JU","PAL_E594"
16299,"status:PA16JU","PAL_E593"
16298,"status:PA16JU","PAL_E591"
16297,"status:PA16JU","PAL_E588"
16296,"status:PA16JU","PAL_E582"
16295,"status:PA16JU","PAL_E572"
16259,"status:PA16JU","PAL_E476"
16258,"status:PA16JU","PAL_E472"
16257,"status:PA16JU","PAL_E470"
16256,"status:PA16JU","PAL_E467"
16255,"status:PA16JU","PAL_E458"
16254,"status:PA16JU","PAL_E457"
